"INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","ADM_RATE_ALL","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","MD_EARN_WNE_P10"
"Carrington College-Mesa","Mesa","AZ",33.39248,-111.853218,NA,NA,NA,NA,34219
"Carrington College-Tucson","Tucson","AZ",32.224391,-110.983056,NA,NA,NA,NA,34219
"Arizona Academy of Beauty","Tucson","AZ",32.237253,-110.872305,NA,NA,NA,NA,26472
"Miller-Motte College-Arizona Automotive Institute","Glendale","AZ",33.537249,-112.157344,NA,NA,NA,NA,28836
"Brookline College-Phoenix","Phoenix","AZ",33.566102,-112.112473,NA,NA,NA,NA,26545
"Arizona State University Campus Immersion","Tempe","AZ",33.417721,-111.934383,0.86994418038413,26937,11618,30592,58967
"Arizona Western College","Yuma","AZ",32.689306,-114.495968,NA,15695,2960,9770,33960
"University of Arizona","Tucson","AZ",32.232672,-110.950815,0.86759708970839,27682,13275,39577,59805
"Central Arizona College","Coolidge","AZ",32.957092,-111.652501,NA,11627,1500,3000,35797
"Charles of Italy Beauty College","Lake Havasu City","AZ",34.477485,-114.332686,NA,NA,NA,NA,23115
"Cochise County Community College District","Sierra Vista","AZ",31.564597,-110.246946,NA,12971,2184,6000,35632
"Empire Beauty School-Chandler","Chandler","AZ",33.347586,-111.860423,NA,NA,NA,NA,23122
"Avalon Institute-Mesa","Mesa","AZ",33.376583,-111.858305,NA,NA,NA,NA,25490
"Eastern Arizona College","Thatcher","AZ",32.843664,-109.76234,NA,15230,2232,9192,37662
"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ",34.616766,-112.449741,0.64585818422796,58036,40464,40464,82012
"The School of Architecture","Paradise Valley","AZ",33.566649,-111.941953,NA,NA,NA,NA,NA
"Glendale Community College","Glendale","AZ",33.570226,-112.190735,NA,16231,2070,7854,41568
"Grand Canyon University","Phoenix","AZ",33.513231,-112.129929,0.77866502866502,31440,17800,17800,38385
"GateWay Community College","Phoenix","AZ",33.449686,-111.997077,NA,17711,2070,7854,44359
"Mesa Community College","Mesa","AZ",33.390323,-111.871255,NA,17128,2070,7854,43299
"Mohave Community College","Kingman","AZ",35.270996,-114.029838,NA,11230,2136,7008,32586
"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","Avondale","AZ",33.453005,-112.288123,NA,NA,NA,NA,46539
"Dine College","Tsaile","AZ",36.293328,-109.21684,NA,14048,1410,1410,28968
"Northern Arizona University","Flagstaff","AZ",35.188449,-111.653724,0.7999331178241,28648,12274,27536,50118
"Northland Pioneer College","Holbrook","AZ",34.93031,-110.142199,NA,15097,2428,9851,32056
"Phoenix College","Phoenix","AZ",33.481361,-112.088293,NA,16957,2070,7854,38004
"Pima Community College","Tucson","AZ",32.222125,-110.886659,NA,8742,2298,7614,38416
"Pima Medical Institute-Tucson","Tucson","AZ",32.248067,-110.878783,NA,NA,NA,NA,35113
"Pima Medical Institute-Albuquerque","Albuquerque","NM",35.104855,-106.59488,NA,NA,NA,NA,32037
"Prescott College","Prescott","AZ",34.5452,-112.477185,0.98378378378378,45439,35450,35450,37590
"Refrigeration School Inc","Phoenix","AZ",33.448692,-111.989357,NA,NA,NA,NA,47975
"Rio Salado College","Tempe","AZ",33.413309,-111.97417,NA,11938,2070,7854,43177
"Roberto-Venn School of Luthiery","Phoenix","AZ",33.45489,-112.086161,NA,NA,NA,NA,35739
"Scottsdale Community College","Scottsdale","AZ",33.51135,-111.885186,NA,18529,2070,7854,43959
"South Mountain Community College","Phoenix","AZ",33.382406,-112.032635,NA,16406,2070,7854,36284
"Arizona Christian University","Glendale","AZ",33.622952,-112.181776,0.70136778115501,47865,31650,31650,44012
"Universal Technical Institute of Arizona Inc","Avondale","AZ",33.453005,-112.288123,NA,NA,NA,NA,51889
"Yavapai College","Prescott","AZ",34.547495,-112.453395,NA,12681,2680,9340,36221
"University of Arkansas at Little Rock","Little Rock","AR",34.723254,-92.339778,0.61463004484304,21300,8366,18957,42973
"University of Arkansas for Medical Sciences","Little Rock","AR",34.750152,-92.322348,NA,NA,NA,NA,71265
"Arkansas Baptist College","Little Rock","AR",34.734751,-92.290555,NA,22715,8760,8760,27908
"Arkansas Beauty School-Little Rock","Little Rock","AR",34.672171,-92.343366,NA,NA,NA,NA,18656
"Arkansas Beauty College","Russellville","AR",35.27902,-93.135369,NA,NA,NA,NA,20578
"Lyon College","Batesville","AR",35.777619,-91.625354,0.59840810419681,44749,31000,31000,45416
"Arkansas Technical School","North Little Rock","AR",34.753843,-92.266429,NA,NA,NA,NA,20038
"Arthur's Beauty College","Fort Smith","AR",35.379955,-94.410967,NA,NA,NA,NA,22309
"University of Arkansas","Fayetteville","AR",36.070009,-94.176981,0.7893130935581,24611,9656,27410,54417
"University of Arkansas at Pine Bluff","Pine Bluff","AR",34.244031,-92.018683,0.69328233325364,19968,8668,15838,34777
"Arkansas State University-Beebe","Beebe","AR",35.074176,-91.895351,NA,15851,3024,4728,33941
"Arkansas State University","Jonesboro","AR",35.842388,-90.679988,0.69511993382961,21176,7456,13312,39824
"Arkansas Tech University","Russellville","AR",35.293237,-93.13562,0.94394307532106,20919,8071,13891,40334
"University of Arkansas at Monticello","Monticello","AR",33.590909,-91.811153,NA,19068,8431,14281,35216
"Arthur's Beauty College","Jacksonville","AR",34.891572,-92.102579,NA,NA,NA,NA,20805
"Baptist Health College Little Rock","Little Rock","AR",34.713115,-92.40692,0.85714285714285,NA,12938,12938,57627
"Black River Technical College","Pocahontas","AR",36.239793,-90.951033,NA,13691,4440,6888,31970
"University of Central Arkansas","Conway","AR",35.077945,-92.457672,0.91214351425942,23167,9778,16728,43712
"Central Baptist College","Conway","AR",35.083838,-92.445021,0.63940520446096,28293,17700,17700,42333
"Cossatot Community College of the University of Arkansas","De Queen","AR",34.043389,-94.3673,NA,11376,3620,4460,29335
"Crowley's Ridge College","Paragould","AR",36.064845,-90.584395,NA,23894,15000,15000,29667
"East Arkansas Community College","Forrest City","AR",35.041655,-90.767726,NA,13976,2910,3810,27806
"Paul Mitchell the School-Little Rock","North Little Rock","AR",34.789913,-92.222202,NA,NA,NA,NA,17941
"National Park College","Hot Springs","AR",34.512687,-93.119248,NA,13759,5200,6880,30459
"University of Arkansas Community College-Batesville","Batesville","AR",35.792923,-91.615852,NA,14375,2766,3750,31098
"Harding University","Searcy","AR",35.247386,-91.726143,0.45119787045252,34168,23148,23148,50273
"Henderson State University","Arkadelphia","AR",34.128155,-93.059703,0.70660980810234,26032,7560,9768,40681
"Hendrix College","Conway","AR",35.101565,-92.443256,0.60278490289483,49928,35100,35100,48230
"Hot Springs Beauty College","Hot Springs","AR",34.496057,-93.037277,NA,NA,NA,NA,15490
"Jefferson Regional School of Nursing","Pine Bluff","AR",34.187831,-92.018045,NA,NA,NA,NA,74882
"John Brown University","Siloam Springs","AR",36.189812,-94.560283,0.56644295302013,42128,29720,29720,54964
"Career Academy of Hair Design","Springdale","AR",36.167605,-94.12947,NA,NA,NA,NA,22761
"Academy of Salon and Spa","Fort Smith","AR",35.38097,-94.41616,NA,NA,NA,NA,20406
"Arkansas State University Mid-South","West Memphis","AR",35.145736,-90.22285,NA,15906,2818,4258,27245
"Arkansas Northeastern College","Blytheville","AR",35.898597,-89.921005,NA,10453,2542,4222,31975
"New Tyler Barber College Inc","North Little Rock","AR",34.760085,-92.254171,NA,NA,NA,NA,20635
"North Arkansas College","Harrison","AR",36.219909,-93.08844,NA,13786,2760,5136,32634
