"INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","ADM_RATE_ALL","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","MD_EARN_WNE_P10"
"Georgia Southern University","Statesboro","GA",32.426153,-81.784045,0.88889645776566,22652,6485,17539,50829
"Georgia State University","Atlanta","GA",33.7527,-84.38667,0.76439861062494,27149,8478,23709,44812
"University of Georgia","Athens","GA",33.956262,-83.374039,0.42545778229908,27821,11180,30220,63405
"Gordon State College","Barnesville","GA",33.04571,-84.154508,0.93320138545274,14627,3475,10381,36490
"Southern Crescent Technical College","Griffin","GA",33.255438,-84.291662,NA,13296,3126,5526,31867
"Gupton Jones College of Funeral Service","Decatur","GA",33.710709,-84.179775,NA,16708,16935,16935,37289
"Gwinnett College-Lilburn","Lilburn","GA",33.901271,-84.121874,NA,30229,10500,10500,29124
"Gwinnett Technical College","Lawrenceville","GA",33.962763,-84.066224,NA,19757,3236,5636,39308
"Interdenominational Theological Center","Atlanta","GA",33.752338,-84.409207,NA,NA,NA,NA,NA
"LaGrange College","Lagrange","GA",33.038564,-85.043113,0.59123055162659,46803,33700,33700,49042
"Lanier Technical College","Gainesville","GA",34.330323,-83.778107,NA,13097,3666,6666,34229
"Life University","Marietta","GA",33.932781,-84.514729,0.97767857142857,40129,14406,14406,45512
"Chattahoochee Technical College","Marietta","GA",33.929092,-84.553722,NA,12524,3252,5652,33506
"Herzing University-Atlanta","Atlanta","GA",33.754218,-84.387251,0.94232105628908,28645,12750,12750,34238
"Mercer University","Macon","GA",32.829134,-83.649392,0.74682371625198,55068,39708,39708,52487
"Morehouse College","Atlanta","GA",33.745982,-84.414917,0.60007661367554,48890,29468,29468,51947
"Morehouse School of Medicine","Atlanta","GA",33.742888,-84.41186,NA,NA,NA,NA,NA
"Morris Brown College","Atlanta","GA",33.753707,-84.407668,NA,19079,9558,9558,NA
"North Georgia Technical College","Clarkesville","GA",34.639721,-83.530118,NA,11549,3072,5472,28604
"Oglethorpe University","Atlanta","GA",33.875441,-84.333687,0.7098721590909,57647,43990,43990,49918
"Paine College","Augusta","GA",33.469545,-81.993225,0.51514233797698,27632,14596,14596,32374
"Piedmont University","Demorest","GA",34.566042,-83.542126,0.64350064350064,42631,29190,29190,48097
"Miami Ad School-Atlanta","Atlanta","GA",33.812116,-84.396182,NA,NA,19400,19400,90886
"Reinhardt University","Waleska","GA",34.319756,-84.554264,0.62326869806094,42776,27300,27300,44242
"Savannah Technical College","Savannah","GA",32.023211,-81.114753,NA,14411,3042,5442,29513
"Savannah College of Art and Design","Savannah","GA",32.072964,-81.09395,0.81733509418224,58970,39605,39605,45661
"Savannah State University","Savannah","GA",32.024781,-81.063377,NA,17228,5498,16218,39332
"Shorter University","Rome","GA",34.257543,-85.196529,0.97474167623421,33819,22810,22810,44832
"South Georgia Technical College","Americus","GA",32.116663,-84.188321,NA,12574,3692,6692,27077
"Spelman College","Atlanta","GA",33.745279,-84.411527,0.28390358268004,47717,28885,28885,57578
"Thomas University","Thomasville","GA",30.815576,-83.963587,0.4608938547486,18420,11080,11080,44231
"Toccoa Falls College","Toccoa Falls","GA",34.593414,-83.357617,0.68011257035647,33983,22350,22350,37975
"Truett McConnell University","Cleveland","GA",34.596306,-83.748911,0.80828220858895,35484,24440,24440,38798
"Wiregrass Georgia Technical College","Valdosta","GA",30.889221,-83.35381,NA,13354,3152,5552,28199
"Valdosta State University","Valdosta","GA",30.847402,-83.289282,0.89467336683417,20694,6007,17062,46357
"Wesleyan College","Macon","GA",32.876037,-83.715417,0.66795069337442,39010,27650,27650,37674
"University of West Georgia","Carrollton","GA",33.573621,-85.097762,0.80117081329709,23870,5941,16996,47080
"Young Harris College","Young Harris","GA",34.933523,-83.84587,0.77286432160804,44631,30905,30905,43368
"Chaminade University of Honolulu","Honolulu","HI",21.28995,-157.807851,0.93410572049239,41667,28544,28544,44509
"University of Hawaii at Hilo","Hilo","HI",19.701189,-155.080847,0.84238921001926,21526,7838,20798,45518
"University of Hawaii at Manoa","Honolulu","HI",21.298598,-157.818979,0.72767998313481,22185,12186,34218,56055
"Hawaii Institute of Hair Design","Honolulu","HI",21.31146,-157.861609,NA,NA,NA,NA,16013
"Hawaii Pacific University","Honolulu","HI",21.310306,-157.859645,0.87097498876741,49353,31940,31940,55349
"Honolulu Community College","Honolulu","HI",21.321785,-157.87,NA,12683,3174,8310,41855
"Kapiolani Community College","Honolulu","HI",21.27148,-157.800213,NA,11875,3284,8420,44797
"Kauai Community College","Lihue","HI",21.968887,-159.395883,NA,17126,3252,8388,39374
"Leeward Community College","Pearl City","HI",21.39267,-157.983771,NA,12573,3214,8350,39673
"University of Hawaii Maui College","Kahului","HI",20.88956,-156.477252,NA,14862,3284,8420,35922
"University of Hawaii-West Oahu","Kapolei","HI",21.35531,-158.056403,0.96369636963696,15528,7584,20544,52531
"Windward Community College","Kaneohe","HI",21.407051,-157.813307,NA,15128,3194,8330,37765
"Carrington College-Boise","Boise","ID",43.615295,-116.260675,NA,NA,NA,NA,34646
"Boise Bible College","Boise","ID",43.658651,-116.291321,1,25426,9770,9770,38249
"Boise State University","Boise","ID",43.604284,-116.203301,0.83929740994343,23497,8364,25701,46869
"College of Eastern Idaho","Idaho Falls","ID",43.486041,-111.985519,NA,13067,3390,6750,37344
"Idaho State University","Pocatello","ID",42.863832,-112.432312,NA,20725,7958,25936,45062
"University of Idaho","Moscow","ID",46.727406,-117.014167,0.73852012245202,22108,8396,27632,51325
"The College of Idaho","Caldwell","ID",43.652284,-116.677992,0.45523385300668,47926,34630,34630,48012
"Lewis-Clark State College","Lewiston","ID",46.412199,-117.024875,0.86769933976637,17295,6999,20252,44343
"Aveda Institute-Twin Falls","Twin Falls","ID",42.593567,-114.461545,NA,NA,NA,NA,19840
"North Idaho College","Coeur d'Alene","ID",47.67569,-116.798905,NA,11778,3396,8736,38340
"Northwest Nazarene University","Nampa","ID",43.562411,-116.565783,0.88185032410135,46897,36298,36298,46841
"Nathan Layne Institute of Cosmetology","Chubbuck","ID",42.919964,-112.464554,NA,NA,NA,NA,17376
"Brigham Young University-Idaho","Rexburg","ID",43.818408,-111.782431,0.9555859909998,12807,4536,4536,52551
"College of Southern Idaho","Twin Falls","ID",42.579837,-114.473901,NA,12340,3360,6840,38007
"Adler University","Chicago","IL",41.882414,-87.629156,NA,NA,NA,NA,NA
"American Academy of Art College","Chicago","IL",41.87742,-87.624788,NA,44105,37670,37670,36788
"American Islamic College","Chicago","IL",41.954969,-87.646898,1,NA,7650,7650,NA
"School of the Art Institute of Chicago","Chicago","IL",41.88105,-87.625758,0.78962962962962,72278,54530,54530,40727
"Augustana College","Rock Island","IL",41.502365,-90.55057,0.61220387652548,59262,47916,47916,61991
"Aurora University","Aurora","IL",41.753631,-88.349023,0.81895961670089,38012,27420,27420,53159
"Southwestern Illinois College","Belleville","IL",38.516406,-89.924466,NA,11885,3810,6210,33643
"Bethany Theological Seminary","Richmond","IN",39.826244,-84.910689,NA,NA,NA,NA,NA
"Black Hawk College","Moline","IL",41.477283,-90.447799,NA,11481,4920,8100,35769
"Blackburn College","Carlinville","IL",39.287896,-89.870241,0.64367816091954,35726,26055,26055,41589
"Blessing Rieman College of Nursing and Health Sciences","Quincy","IL",39.949641,-91.357497,NA,NA,NA,NA,69832
"Bradley University","Peoria","IL",40.696896,-89.616786,0.7514094432699,50881,37800,37800,66315
"Paul Mitchell The School Tinley Park","Tinley Park","IL",41.556477,-87.801816,NA,NA,NA,NA,21043
"Cameo Beauty Academy","Oak Lawn","IL",41.716051,-87.740894,NA,NA,NA,NA,22486
"Cannella School of Hair Design-Villa Park","Villa Park","IL",41.90417,-87.994628,NA,NA,NA,NA,26413
"Cannella School of Hair Design-Chicago","Chicago","IL",41.731381,-87.551622,NA,NA,NA,NA,20933
"Cannella School of Hair Design-Chicago","Chicago","IL",41.815763,-87.701198,NA,NA,NA,NA,21525
"Capri Beauty College","Oak Forest","IL",41.603863,-87.771567,NA,NA,NA,NA,20784
"Carl Sandburg College","Galesburg","IL",40.98128,-90.408203,NA,11440,5250,8760,36447
"Catholic Theological Union at Chicago","Chicago","IL",41.797895,-87.585989,NA,NA,NA,NA,NA
"Midwestern University-Downers Grove","Downers Grove","IL",41.828115,-87.998342,NA,NA,NA,NA,NA
"The Chicago School of Professional Psychology at Chicago","Chicago","IL",41.888293,-87.63379,0.32394366197183,NA,13224,13224,58068
"Chicago State University","Chicago","IL",41.718446,-87.609384,0.48514316585629,21961,12018,12018,43759
"Chicago Theological Seminary","Chicago","IL",41.785701,-87.591178,NA,NA,NA,NA,NA
"University of Chicago","Chicago","IL",41.787994,-87.599539,0.05434145301423,84126,64260,64260,78439
"City Colleges of Chicago-Kennedy-King College","Chicago","IL",41.780253,-87.643425,NA,11525,4380,14430,27595
"City Colleges of Chicago-Malcolm X College","Chicago","IL",41.878092,-87.675321,NA,10277,4380,14430,31328
"City Colleges of Chicago-Olive-Harvey College","Chicago","IL",41.709997,-87.589249,NA,12355,4380,14430,27458
"City Colleges of Chicago-Harry S Truman College","Chicago","IL",41.964502,-87.659107,NA,10218,4380,14430,32719
"City Colleges of Chicago-Richard J Daley College","Chicago","IL",41.755955,-87.723981,NA,9310,4380,14430,36836
"City Colleges of Chicago-Harold Washington College","Chicago","IL",41.886067,-87.626596,NA,9955,4380,14430,34157
"City Colleges of Chicago-Wilbur Wright College","Chicago","IL",41.958774,-87.787868,NA,9537,4380,14430,38908
"Columbia College Chicago","Chicago","IL",41.874261,-87.624667,0.94766913387871,45611,31026,31026,41963
"Concordia University-Chicago","River Forest","IL",41.898696,-87.809482,0.93040037243947,44022,34964,34964,51219
"Danville Area Community College","Danville","IL",40.127539,-87.587884,NA,10151,5200,8650,34878
"Tricoci University of Beauty Culture","Urbana","IL",40.117724,-88.205972,NA,NA,NA,NA,18311
"DePaul University","Chicago","IL",41.877618,-87.62724,0.70165172251061,57824,42840,42840,67245
"Cosmetology & Spa Academy","Crystal Lake","IL",42.24918,-88.294087,NA,NA,NA,NA,28380
"College of DuPage","Glen Ellyn","IL",41.841577,-88.071635,NA,14057,4200,11910,45341
"East-West University","Chicago","IL",41.871309,-87.624793,NA,29168,23400,23400,30381
"Eastern Illinois University","Charleston","IL",39.479843,-88.175658,0.67964433701657,25334,13101,15528,50741
"Elgin Community College","Elgin","IL",42.018066,-88.32194,NA,8671,3180,9516,42783
"Elmhurst University","Elmhurst","IL",41.897164,-87.945369,0.76007677543186,51455,40232,40232,58657
"Eureka College","Eureka","IL",40.71482,-89.269624,0.86723768736616,38968,28380,28380,44812
"First Institute of Travel Inc.","Crystal Lake","IL",42.21926,-88.339468,NA,NA,NA,NA,34907
"Fox College","Tinley Park","IL",41.563842,-87.785169,0.69841269841269,20119,16620,16620,36162
"Garrett-Evangelical Theological Seminary","Evanston","IL",42.056221,-87.675497,NA,NA,NA,NA,NA
"Gem City College","Quincy","IL",39.926394,-91.404218,NA,NA,NA,NA,NA
"Governors State University","University Park","IL",41.449103,-87.716441,0.57479892761394,20901,10468,17980,52665
"Graham Hospital School of Nursing","Canton","IL",40.552962,-90.038776,1,NA,8269,8269,60331
"Greenville University","Greenville","IL",38.894162,-89.40824,0.94117647058823,43239,30548,30548,44195
"G Skin & Beauty Institute","Schaumburg","IL",42.061983,-88.083218,NA,NA,NA,NA,26129
"Hair Professionals Career College","Sycamore","IL",41.962221,-88.718145,NA,NA,NA,NA,24636
"Hair Professionals School of Cosmetology","Oswego","IL",41.682591,-88.364727,NA,NA,NA,NA,30564
"Hebrew Theological College","Skokie","IL",42.010103,-87.760874,0.71428571428571,21196,14200,14200,28130
"Highland Community College","Freeport","IL",42.283344,-89.67342,NA,11650,4624,7048,35477
"Rosalind Franklin University of Medicine and Science","North Chicago","IL",42.300069,-87.859632,NA,NA,NA,NA,NA
"University of Illinois Chicago","Chicago","IL",41.871837,-87.650503,0.78690263984381,24375,14046,28654,64108
"Benedictine University","Lisle","IL",41.777569,-88.097307,0.9311726147123,46422,34290,34290,61453
"Illinois College of Optometry","Chicago","IL",41.835447,-87.623016,NA,NA,NA,NA,NA
"University of Illinois Urbana-Champaign","Champaign","IL",40.104718,-88.229114,0.4482349779471,31636,15714,33686,77368
"Illinois Wesleyan University","Bloomington","IL",40.489901,-88.992014,0.42218693284936,66835,53814,53814,66591
"Illinois Central College","East Peoria","IL",40.707235,-89.52485,NA,16348,4650,11700,34798
"Illinois College","Jacksonville","IL",39.7313,-90.246171,0.77181621954979,46023,36346,36346,51953
"Olney Central College","Olney","IL",38.735913,-88.099589,NA,13005,4354,12082,34766
"Illinois Institute of Technology","Chicago","IL",41.8313,-87.627321,0.61438630401767,67233,50640,50640,82793
"Illinois State University","Normal","IL",40.509403,-88.990058,0.86236987140232,32151,15170,27011,58781
"Illinois Valley Community College","Oglesby","IL",41.30744,-89.100887,NA,11225,4000,14314,38521
"Institute for Clinical Social Work","Chicago","IL",41.972414,-87.662806,NA,NA,NA,NA,NA
"John A Logan College","Carterville","IL",37.747453,-89.09021,NA,11937,4550,7370,31782
"John Wood Community College","Quincy","IL",39.913741,-91.335828,NA,12456,5100,8400,35370
"Joliet Junior College","Joliet","IL",41.500535,-88.180985,NA,9151,4530,13800,38215
"Judson University","Elgin","IL",42.061754,-88.291336,0.58196010407632,39201,30910,30910,51562
"Kankakee Community College","Kankakee","IL",41.098178,-87.851047,NA,11997,4950,25560,36589
"Kaskaskia College","Centralia","IL",38.562112,-89.191974,NA,10792,4560,12330,34989
"Kishwaukee College","Malta","IL",41.938234,-88.880524,NA,13208,4980,13800,40064
"Knox College","Galesburg","IL",40.943064,-90.373165,0.73317710077,63874,53259,53259,51471
"Educators of Beauty College of Cosmetology-Peru","PERU","IL",41.354338,-89.118454,NA,NA,NA,NA,23304
"College of Lake County","Grayslake","IL",42.354164,-88.012291,NA,10503,4200,13118,40885
"Lake Forest College","Lake Forest","IL",42.249574,-87.827454,0.59721329046087,65637,52902,52902,66559
"Lake Forest Graduate School of Management","Lake Forest","IL",42.243432,-87.893204,NA,NA,NA,NA,NA
"Lake Land College","Mattoon","IL",39.416969,-88.380835,NA,10165,3965,13906,35519
"Lakeview College of Nursing","Danville","IL",40.13855,-87.644379,NA,NA,NA,NA,74126
"Lewis and Clark Community College","Godfrey","IL",38.951624,-90.194405,NA,9222,3552,12552,37825
"Lewis University","Romeoville","IL",41.605432,-88.079032,0.74062368310155,44513,36530,36530,61393
"Lincoln Christian University","Lincoln","IL",40.148924,-89.346721,NA,21428,14920,14920,39734
"Lincoln Land Community College","Springfield","IL",39.721211,-89.611249,NA,10858,3612,10068,35787
"Lincoln College of Technology-Melrose Park","Melrose Park","IL",41.905577,-87.832162,NA,NA,NA,NA,36416
"Loyola University Chicago","Chicago","IL",42.000765,-87.656872,0.79148842552983,62997,49498,49498,66791
"Lutheran School of Theology at Chicago","Chicago","IL",41.79563,-87.598978,NA,NA,NA,NA,NA
"Trinity College of Nursing & Health Sciences","Rock Island","IL",41.484924,-90.568862,NA,NA,NA,NA,54392
"Steven Papageorge Hair Academy","Chicago","IL",41.968291,-87.713577,NA,NA,NA,NA,17031
"Generations College","Chicago","IL",41.881773,-87.626675,NA,23711,12700,12700,34903
"McCormick Theological Seminary","Chicago","IL",41.79597,-87.598511,NA,NA,NA,NA,NA
"McHenry County College","Crystal Lake","IL",42.259111,-88.368956,NA,12040,3862,14692,42560
"McKendree University","Lebanon","IL",38.608154,-89.816822,0.68353344768439,46576,33430,33430,51819
"Meadville Theological School of Lombard College","Chicago","IL",41.885452,-87.62671,NA,NA,NA,NA,NA
"Methodist College","Peoria","IL",40.7804,-89.682864,0.33333333333333,36059,18008,18008,66066
"Millikin University","Decatur","IL",39.842612,-88.976298,0.75396278428669,40918,26892,41632,46513
"Monmouth College","Monmouth","IL",40.914824,-90.63731,0.9070407040704,54707,42214,42214,49661
"Moody Bible Institute","Chicago","IL",41.897822,-87.633459,0.94135802469135,31963,16178,16178,47183
"Moraine Valley Community College","Palos Hills","IL",41.694613,-87.836915,NA,11158,3750,9630,40081
"Morrison Institute of Technology","Morrison","IL",41.7971,-89.965963,NA,25666,19400,19400,55623
"Morton College","Cicero","IL",41.824303,-87.762306,NA,13992,4756,10900,38409
"National Louis University","Chicago","IL",41.880093,-87.624699,0.92046526249607,23734,11580,11580,44968
"National University of Health Sciences","Lombard","IL",41.861697,-88.013171,NA,NA,NA,NA,46611
"Cosmetology Concepts Niles","Niles","IL",42.027601,-87.815113,NA,NA,NA,NA,21105
"North Central College","Naperville","IL",41.77576,-88.14279,0.6087468131006,54661,43046,43046,57787
"North Park University","Chicago","IL",41.975268,-87.709948,0.68009525699543,41988,34020,34020,55242
"Northern Baptist Theological Seminary","Lisle","IL",41.809104,-88.056162,NA,NA,NA,NA,NA
"Northern Illinois University","Dekalb","IL",41.933869,-88.766428,0.70675243634682,26534,12662,12662,55380
"Northwestern University","Evanston","IL",42.050356,-87.679858,0.07208208969782,83803,63468,63468,85796
"Northeastern Illinois University","Chicago","IL",41.980399,-87.718983,0.62698240278079,24517,12101,22192,50312
"Oakton Community College","Des Plaines","IL",42.061893,-87.880644,NA,11107,3985,12462,45626
"Oehrlein School of Cosmetology","East Peoria","IL",40.665832,-89.55712,NA,NA,NA,NA,21893
"Olivet Nazarene University","Bourbonnais","IL",41.155237,-87.875165,0.57795351839896,49685,37940,37940,50851
"Parkland College","Champaign","IL",40.131963,-88.290359,NA,13462,5130,15930,38874
"Prairie State College","Chicago Heights","IL",41.525316,-87.638943,NA,14265,4176,11064,35027
"Principia College","Elsah","IL",38.948835,-90.350285,0.47846889952153,NA,32130,32130,NA
"Professional's Choice Hair Design Academy","Joliet","IL",41.523122,-88.148846,NA,NA,NA,NA,15420
"Quincy University","Quincy","IL",39.938898,-91.385975,0.61704545454545,43381,31940,31940,47879
"Rend Lake College","Ina","IL",38.131481,-88.918283,NA,15080,4500,7200,35169
"Richland Community College","Decatur","IL",39.883887,-88.894125,NA,9498,4590,17070,37735
"Rock Valley College","Rockford","IL",42.306174,-88.993544,NA,14312,4124,20384,37576
"Rockford University","Rockford","IL",42.270639,-89.019536,0.54911838790931,45985,35050,35050,52541
"Roosevelt University","Chicago","IL",41.876055,-87.624952,0.88321654988321,46360,33068,33068,45701
"Dominican University","River Forest","IL",41.902678,-87.823003,0.89525112370529,43574,36500,36500,56955
"Rush University","Chicago","IL",41.874742,-87.668581,NA,NA,NA,NA,84906
"Saint Francis Medical Center College of Nursing","Peoria","IL",40.701241,-89.590322,NA,NA,NA,NA,68077
"University of St Francis","Joliet","IL",41.532225,-88.096057,0.58416742493175,43760,36000,36000,60919
"St. John's College-Department of Nursing","Springfield","IL",39.807602,-89.64532,NA,NA,NA,NA,76663
"Saint Xavier University","Chicago","IL",41.707199,-87.714749,0.84131239627218,41127,35770,35770,55564
"University of Illinois Springfield","Springfield","IL",39.729524,-89.616796,0.82030820033021,24287,12077,21842,52925
"Sauk Valley Community College","Dixon","IL",41.817659,-89.596483,NA,14044,5070,12840,35874
"Shawnee Community College","Ullin","IL",37.270198,-89.03352,NA,12588,4200,7050,28289
"St. Augustine College","Chicago","IL",41.972414,-87.662806,NA,20756,13288,13288,32284
"University of Saint Mary of the Lake","Mundelein","IL",42.280702,-88.000262,NA,NA,NA,NA,NA
"Southeastern Illinois College","Harrisburg","IL",37.75174,-88.436631,NA,12332,4260,6480,31803
"National Latino Education Institute","Chicago","IL",41.822756,-87.675917,NA,NA,NA,NA,34493
"Spertus College","Chicago","IL",41.873881,-87.624785,NA,NA,NA,NA,NA
"Spoon River College","Canton","IL",40.527991,-90.07233,NA,12651,5490,12450,36442
"Saint Anthony College of Nursing","Rockford","IL",42.310147,-88.991968,NA,33151,27811,27811,71866
"Educators of Beauty College of Cosmetology-Sterling","Sterling","IL",41.788581,-89.692522,NA,NA,NA,NA,18827
"Southern Illinois University-Carbondale","Carbondale","IL",37.714193,-89.217273,0.91495241019342,28970,15416,15416,50562
"Southern Illinois University-Edwardsville","Edwardsville","IL",38.793949,-89.997779,0.97512064343163,24429,12558,12558,54293
"Taylor Business Institute","Chicago","IL",41.885452,-87.62671,0.79411764705882,22723,10650,10650,24348
"Telshe Yeshiva-Chicago","Chicago","IL",41.975536,-87.71755,0.94285714285714,20200,16000,16000,NA
"South Suburban College","South Holland","IL",41.606427,-87.619123,NA,10751,5093,12683,30738
"Trinity Christian College","Palos Heights","IL",41.667687,-87.783973,0.70679886685552,46996,34325,34325,52079
"Trinity International University-Illinois","Deerfield","IL",42.197945,-87.880851,0.91256830601092,46333,33898,33898,44008
"Triton College","River Grove","IL",41.916082,-87.841056,NA,11388,4770,14430,40896
"University of Spa & Cosmetology Arts","Springfield","IL",39.76672,-89.710839,NA,NA,NA,NA,24882
"VanderCook College of Music","Chicago","IL",41.836833,-87.629138,1,36975,29800,29800,50352
"Waubonsee Community College","Sugar Grove","IL",41.795955,-88.459925,NA,11045,3360,11496,41917
"Oak Point University","Oak Brook","IL",41.848066,-87.930551,NA,NA,NA,NA,84630
"Western Illinois University","Macomb","IL",40.468086,-90.686899,0.74997288209133,27039,14406,14406,52612
"Wheaton College","Wheaton","IL",41.870176,-88.099643,0.88431061806656,54537,42240,42240,60007
"William Rainey Harper College","Palatine","IL",42.081829,-88.072811,NA,12186,3774,11754,46688
"Anderson University","Anderson","IN",40.112768,-85.664315,0.51754062038404,48027,34080,34080,45222
"Ball State University","Muncie","IN",40.203431,-85.409043,0.689487729122,24478,10440,27924,49177
"Bethel University","Mishawaka","IN",41.678399,-86.194686,0.99468085106382,41570,32040,32040,48166
"Butler University","Indianapolis","IN",39.8374,-86.172167,0.82063349768414,62673,44460,44460,72865
"Calumet College of Saint Joseph","Whiting","IN",41.671008,-87.494123,NA,28094,21650,21650,46475
"Christian Theological Seminary","Indianapolis","IN",39.832673,-86.178551,NA,NA,NA,NA,NA
"College of Court Reporting Inc","Valparaiso","IN",41.467574,-87.066331,NA,42454,10080,10080,38252
"Concordia Theological Seminary","Fort Wayne","IN",41.139321,-85.10994,NA,NA,NA,NA,NA
"Tricoci University of Beauty Culture-Highland","Highland","IN",41.555885,-87.467018,NA,NA,NA,NA,22579
"DePauw University","Greencastle","IN",39.640904,-86.860363,0.65802382620882,70394,55410,55410,66577
"Don Roberts School of Hair Design","Schererville","IN",41.485532,-87.447089,NA,NA,NA,NA,NA
"Earlham College","Richmond","IN",39.823431,-84.915037,0.73236363636363,62999,50058,50058,45931
"University of Evansville","Evansville","IN",37.971549,-87.531644,0.76324766886513,52798,41336,41336,51987
"Franklin College","Franklin","IN",39.478298,-86.047182,0.9286125503742,49403,36136,36136,52038
"Goshen College","Goshen","IN",41.563582,-85.827795,0.93541876892028,47366,36660,36660,48025
"Grace College and Theological Seminary","Winona Lake","IN",41.22595,-85.814228,0.84622942765905,39454,29048,29048,45507
"Hanover College","Hanover","IN",38.715642,-85.460051,0.74113586444932,55210,41559,41559,51346
"J Michael Harrold Beauty Academy","Terre Haute","IN",39.470359,-87.383391,NA,NA,NA,NA,20936
"Holy Cross College","Notre Dame","IN",41.698996,-86.253822,0.76165254237288,47029,34800,34800,48030
"PJ's College of Cosmetology-Clarksville","Clarksville","IN",38.3121,-85.768914,NA,NA,NA,NA,23354
"Huntington University","Huntington","IN",40.898152,-85.497317,0.77504553734061,40132,28830,28830,40979
"Ivy Tech Community College","Indianapolis","IN",39.803753,-86.158213,NA,13496,4637,8927,35122
"Purdue University Fort Wayne","Fort Wayne","IN",41.117278,-85.108962,0.80659490859388,19050,8985,21573,44374
"Indiana University-Purdue University-Indianapolis","Indianapolis","IN",39.772948,-86.172217,0.8288674298139,21624,10144,32582,50477
"University of Indianapolis","Indianapolis","IN",39.709571,-86.133969,0.76137399939203,47597,34972,34972,50418
"Indiana Institute of Technology","Fort Wayne","IN",41.078365,-85.116479,0.64662784144279,41982,29560,29560,48091
"University of Southern Indiana","Evansville","IN",37.962374,-87.677214,0.9443535188216,20435,10210,22255,44224
"Indiana State University","Terre Haute","IN",39.469073,-87.407846,0.92304786573849,23136,9732,21160,45531
"Indiana University-Kokomo","Kokomo","IN",40.460062,-86.132048,0.85750507099391,13332,7941,21301,43073
"Indiana University-South Bend","South Bend","IN",41.665324,-86.221991,0.86882453151618,15251,7941,21301,40816
"Indiana University-Bloomington","Bloomington","IN",39.16609,-86.526559,0.82412140575079,27131,11447,39120,61279
"Indiana University-Northwest","Gary","IN",41.557324,-87.337249,0.80313315926892,13597,7941,21301,44517
"Indiana University-Southeast","New Albany","IN",38.345191,-85.819985,0.8523140925637,14752,7941,21301,44383
"Indiana University-East","Richmond","IN",39.868707,-84.881923,0.77553593947036,15899,7941,21301,41226
"International Business College-Indianapolis","Indianapolis","IN",39.885628,-86.041648,0.71759259259259,21271,15280,15280,33621
"Taylor Institute of Cosmetology II","Knox","IN",41.287712,-86.618158,NA,NA,NA,NA,19820
"Tricoci University of Beauty Culture-Lafayette","Lafayette","IN",40.419818,-86.887007,NA,NA,NA,NA,20903
"Lincoln College of Technology-Indianapolis","Indianapolis","IN",39.884503,-86.246276,NA,NA,NA,NA,43300
"Manchester University","North Manchester","IN",41.010549,-85.762643,0.66388018112156,46583,35772,35772,48502
"Marian University","Indianapolis","IN",39.813233,-86.202643,0.94031773293258,51522,37600,37600,56132
"Indiana Wesleyan University-Marion","Marion","IN",40.517937,-85.667503,0.86720729853015,41692,29684,29684,55759
"Martin University","Indianapolis","IN",39.798144,-86.103953,NA,25074,13200,13200,25915
"Anabaptist Mennonite Biblical Seminary","Elkhart","IN",41.656013,-85.972165,NA,NA,NA,NA,NA
"Mid-America College of Funeral Service","Jeffersonville","IN",38.31209,-85.744696,NA,28498,18000,18000,44997
"West Michigan College of Barbering and Beauty","Kalamazoo","MI",42.259329,-85.590244,NA,NA,NA,NA,22465
"University of Notre Dame","Notre Dame","IN",41.703058,-86.238959,0.12905051114715,78347,60301,60301,93220
"Oakland City University","Oakland City","IN",38.340891,-87.35144,0.55719139297848,40024,26400,26400,40917
"PJ's College of Cosmetology-Richmond","Richmond","IN",39.83227,-84.842601,NA,NA,NA,NA,25685
"Ravenscroft Beauty College","Fort Wayne","IN",41.121802,-85.046078,NA,NA,NA,NA,23300
"Rogers Academy of Hair Design","Evansville","IN",37.970675,-87.572366,NA,NA,NA,NA,19555
"Rose-Hulman Institute of Technology","Terre Haute","IN",39.483602,-87.326749,0.73019357413689,72651,54602,54602,97688
"University of Saint Francis-Fort Wayne","Fort Wayne","IN",41.087205,-85.177246,0.98058950395399,43022,34050,34050,48788
"Saint Mary-of-the-Woods College","Saint Mary of the Woods","IN",39.508546,-87.463791,0.78166838311019,43905,32700,32700,38510
"Saint Mary's College","Notre Dame","IN",41.707274,-86.256947,0.83893805309734,63986,49930,49930,59312
"Saint Meinrad School of Theology","St. Meinrad","IN",38.165546,-86.810388,NA,NA,NA,NA,NA
"Saint Elizabeth School of Nursing","Lafayette","IN",40.427401,-86.88083,1,36215,20064,20064,63606
"Taylor University","Upland","IN",40.456246,-85.497034,0.74606955693187,50672,37476,37476,47467
"Trine University","Angola","IN",41.632502,-85.008009,0.91111673841478,48921,34890,34890,54719
"Valparaiso University","Valparaiso","IN",41.462239,-87.040172,0.94153756211634,56969,44796,44796,60754
"Vincennes Beauty College","Vincennes","IN",38.679739,-87.53241,NA,NA,NA,NA,25949
"Vincennes University","Vincennes","IN",38.686318,-87.523407,NA,18809,6654,15739,40582
"Wabash College","Crawfordsville","IN",40.037588,-86.906,0.61494252873563,60150,47475,47475,62697
"Allen College","Waterloo","IA",42.530084,-92.340148,NA,33134,20008,20008,62073
"Briar Cliff University","Sioux City","IA",42.526443,-96.428444,NA,48066,34498,34498,49246
